phase,train_fraction,method,queue_run,severity,corruption,it_total_ood_auroc,it_epistemic_ood_auroc,it_aleatoric_ood_auroc
full-data,1.0,ddu,5w1yjrmj,1,motion_blur,0.623887,0.500000,0.623887
full-data,1.0,ddu,5w1yjrmj,1,pixelate,0.580238,0.500000,0.580238
full-data,1.0,ddu,5w1yjrmj,1,shot_noise,0.665423,0.500000,0.665423
full-data,1.0,ddu,5w1yjrmj,1,snow,0.599951,0.500000,0.599951
full-data,1.0,ddu,5w1yjrmj,1,zoom_blur,0.662916,0.500000,0.662916
full-data,1.0,ddu,5w1yjrmj,2,brightness,0.510416,0.500000,0.510416
full-data,1.0,ddu,5w1yjrmj,2,contrast,0.591188,0.500000,0.591188
full-data,1.0,ddu,5w1yjrmj,2,defocus_blur,0.547107,0.500000,0.547107
full-data,1.0,ddu,5w1yjrmj,2,elastic,0.632769,0.500000,0.632769
full-data,1.0,ddu,5w1yjrmj,2,fog,0.543774,0.500000,0.543774
full-data,1.0,ddu,5w1yjrmj,2,frost,0.688293,0.500000,0.688293
full-data,1.0,ddu,5w1yjrmj,2,frosted_glass_blur,0.837024,0.500000,0.837024
full-data,1.0,ddu,5w1yjrmj,2,gaussian_noise,0.808758,0.500000,0.808758
full-data,1.0,ddu,5w1yjrmj,2,impulse_noise,0.764708,0.500000,0.764708
full-data,1.0,ddu,5w1yjrmj,2,jpeg,0.771302,0.500000,0.771302
full-data,1.0,ddu,5w1yjrmj,2,motion_blur,0.710924,0.500000,0.710924
full-data,1.0,ddu,5w1yjrmj,2,pixelate,0.658880,0.500000,0.658880
full-data,1.0,ddu,5w1yjrmj,2,shot_noise,0.732685,0.500000,0.732685
full-data,1.0,ddu,5w1yjrmj,2,snow,0.716606,0.500000,0.716606
full-data,1.0,ddu,5w1yjrmj,2,zoom_blur,0.700877,0.500000,0.700877
full-data,1.0,ddu,5w1yjrmj,3,brightness,0.525353,0.500000,0.525353
full-data,1.0,ddu,5w1yjrmj,3,contrast,0.649240,0.500000,0.649240
full-data,1.0,ddu,5w1yjrmj,3,defocus_blur,0.645212,0.500000,0.645212
full-data,1.0,ddu,5w1yjrmj,3,elastic,0.688496,0.500000,0.688496
full-data,1.0,ddu,5w1yjrmj,3,fog,0.580278,0.500000,0.580278
full-data,1.0,ddu,5w1yjrmj,3,frost,0.758409,0.500000,0.758409
full-data,1.0,ddu,5w1yjrmj,3,frosted_glass_blur,0.834027,0.500000,0.834027
full-data,1.0,ddu,5w1yjrmj,3,gaussian_noise,0.851590,0.500000,0.851590
full-data,1.0,ddu,5w1yjrmj,3,impulse_noise,0.830712,0.500000,0.830712
full-data,1.0,ddu,5w1yjrmj,3,jpeg,0.792349,0.500000,0.792349
full-data,1.0,ddu,5w1yjrmj,3,motion_blur,0.770745,0.500000,0.770745
full-data,1.0,ddu,5w1yjrmj,3,pixelate,0.703355,0.500000,0.703355
full-data,1.0,ddu,5w1yjrmj,3,shot_noise,0.823333,0.500000,0.823333
full-data,1.0,ddu,5w1yjrmj,3,snow,0.692447,0.500000,0.692447
full-data,1.0,ddu,5w1yjrmj,3,zoom_blur,0.751932,0.500000,0.751932
