phase,train_fraction,method,parameter_source,decomposition,num_samples,num_finite_samples,mean_aleatoric,mean_epistemic,std_aleatoric,std_epistemic,pearson_aleatoric_label_entropy,spearman_aleatoric_label_entropy,pearson_epistemic_label_entropy,spearman_epistemic_label_entropy,spearman_aleatoric_vote_disagreement,spearman_epistemic_vote_disagreement
scarce-10pct,0.1,temperature-scaling,posthoc,bregman-estimated,977,977,0.6022891998,-7.379441502e-10,0.09161736071,1.964143514e-08,0.06712543396,0.07016672686,,,0.03465833022,
scarce-10pct,0.1,swag,posthoc,information-theoretic,977,977,0.3942918181,0.137181446,0.121967949,0.06218440831,0.0769377577,0.111527087,0.06804968792,0.05180952677,0.07233709248,0.05822488792
scarce-10pct,0.1,swag,posthoc,bregman-estimated,977,977,0.3942918181,0.1963580251,0.121967949,0.1010518894,0.0769377577,0.111527087,0.1082707652,0.09868163703,0.07233709248,0.0958567969
full-data,1,laplace,posthoc,information-theoretic,977,977,0.2960919738,0.01206465159,0.2335013002,0.01223939285,0.04639876054,0.1357023321,-0.006339484095,0.1168273606,0.08796260511,0.067918767
full-data,1,laplace,posthoc,bregman-estimated,977,977,0.2960919738,0.01246827003,0.2335013002,0.01310725231,0.04639876054,0.1357023321,-0.008927915981,0.1175424266,0.08796260511,0.06859848464
scarce-50pct,0.5,laplace,posthoc,information-theoretic,977,977,0.3291498125,0.02279274166,0.208012104,0.0186310932,0.07447593822,0.1355981254,0.02438775249,0.11336239,0.09302307448,0.0734764855
scarce-50pct,0.5,laplace,posthoc,bregman-estimated,977,977,0.3291498125,0.0239149034,0.208012104,0.02083993703,0.07447593822,0.1355981254,0.01830417311,0.114803548,0.09302307448,0.07480386116
scarce-10pct,0.1,laplace,posthoc,information-theoretic,977,977,0.2255705595,0.08948568255,0.1688990295,0.08989484608,0.01733600475,0.07652044483,-0.02031806687,0.05801963482,0.04031527611,0.02725855345
scarce-10pct,0.1,laplace,posthoc,bregman-estimated,977,977,0.2255705595,0.1267880797,0.1688990295,0.1998559982,0.01733600475,0.07652044483,-0.0273261709,0.06067936217,0.04031527611,0.02922912491
full-data,1,duq,transferred-cifar-config-extra,information-theoretic,977,977,0.3426556885,0,0.2471561432,0,0.1251791341,0.1939211047,,,0.1562793671,
full-data,1,duq,transferred-cifar-config-extra,bregman-estimated,977,977,0.3426556885,-1.956921257e-11,0.2471561432,7.831228999e-09,0.1251791341,0.1939211047,,,0.1562793671,
full-data,1,fast-deep-ensemble,transferred-cifar-config-extra,information-theoretic,977,977,0.1994653791,0.09574961662,0.1716135591,0.12612468,0.01824599429,0.1409309333,0.0534121964,0.1711440606,0.09048854843,0.1242571487
