method,method_label,severity,corruption,it_au_ood_auroc,it_eu_ood_auroc,total_entropy_ood_auroc,bregman_au_ood_auroc
sngp,SNGP,3,defocus_blur,0.504678,0.499968,0.501264,0.504678
sngp,SNGP,3,jpeg_compression,0.507636,0.505397,0.506941,0.507636
sngp,SNGP,3,motion_blur,0.500676,0.500492,0.499342,0.500676
sngp,SNGP,3,pixelate,0.505937,0.502668,0.504896,0.505937
sngp,SNGP,3,stain_deposit,0.507227,0.503370,0.505383,0.507227
sngp,SNGP,4,brightness_down,0.505100,0.496112,0.497488,0.505100
sngp,SNGP,4,bubble,0.499126,0.495929,0.495227,0.499126
sngp,SNGP,4,contrast_up,0.505543,0.500876,0.502840,0.505543
sngp,SNGP,4,defocus_blur,0.501795,0.502052,0.502265,0.501795
sngp,SNGP,4,jpeg_compression,0.501120,0.498244,0.497947,0.501120
sngp,SNGP,4,motion_blur,0.505979,0.506036,0.507011,0.505979
sngp,SNGP,4,pixelate,0.504096,0.500810,0.502219,0.504096
sngp,SNGP,4,stain_deposit,0.498591,0.502804,0.501262,0.498591
sngp,SNGP,5,brightness_down,0.500928,0.498661,0.499886,0.500928
sngp,SNGP,5,bubble,0.506952,0.495817,0.497876,0.506952
sngp,SNGP,5,contrast_up,0.508463,0.505263,0.507510,0.508463
sngp,SNGP,5,defocus_blur,0.506222,0.497520,0.498683,0.506222
sngp,SNGP,5,jpeg_compression,0.497189,0.503528,0.501842,0.497189
sngp,SNGP,5,motion_blur,0.499081,0.505800,0.504970,0.499081
sngp,SNGP,5,pixelate,0.502521,0.503775,0.503251,0.502521
sngp,SNGP,5,stain_deposit,0.499984,0.498094,0.497426,0.499984
